Case,Pmax(uN),hmax(nm),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,416.77,0.05,164,1425,105,0.25,166704,18100,0.563785522
1,388.34,0.05,136,1425,105,0.25,155336,15574,0.512272926
2,407.15,0.05,150,1425,105,0.25,162860,16926,0.537800525
3,433.3,0.05,172,1425,105,0.25,173320,18967,0.572776553
4,416.9,0.05,164,1182,105,0.25,166760,18235,0.567673334
5,381.99,0.05,136,1182,105,0.25,152792,15573,0.519571931
6,400.31,0.05,150,1182,105,0.25,160120,16925,0.544869773
7,425.73,0.05,172,1182,105,0.25,170292,18966,0.579621287
8,420.66,0.05,164,1303,105,0.25,168264,18236,0.564053038
9,385.21,0.05,136,1303,105,0.25,154084,15574,0.515908153
10,403.79,0.05,150,1303,105,0.25,161516,16926,0.541266951
11,429.6,0.05,172,1303,105,0.25,171840,18967,0.576114328
12,426.21,0.05,164,1495,105,0.25,170484,18236,0.558829964
13,390.07,0.05,136,1495,105,0.25,156028,15574,0.510263147
14,409.02,0.05,150,1495,105,0.25,163608,16926,0.535816734
15,435.35,0.05,172,1495,105,0.25,174140,18967,0.570942497
16,397.79,0.05,164,1425,88,0.25,159116,18347,0.599799262
17,366.24,0.05,136,1425,88,0.25,146496,15668,0.552301502
18,382.83,0.05,150,1425,88,0.25,153132,17030,0.57740344
19,405.71,0.05,172,1425,88,0.25,162280,19079,0.611507826
20,390,0.05,164,1182,88,0.25,156000,18344,0.606869224
12,359.39,0.05,136,1182,88,0.25,143756,15667,0.559909774
22,375.51,0.05,150,1182,88,0.25,150204,17028,0.584672951
23,397.66,0.05,172,1182,88,0.25,159060,19077,0.618495068
24,393.99,0.05,164,1303,88,0.25,157596,18346,0.603201359
25,362.88,0.05,136,1303,88,0.25,145152,15669,0.556079774
26,379.23,0.05,150,1303,88,0.25,151688,17028,0.581011234
27,401.78,0.05,172,1303,88,0.25,160712,19079,0.614881208
28,433.11,0.05,164,1495,88,0.25,173244,18208,0.548312835
29,395.79,0.05,136,1495,88,0.25,158316,15549,0.499596875
30,415.34,0.05,150,1495,88,0.25,166136,16899,0.525217714
31,442.56,0.05,172,1495,88,0.25,177024,18937,0.560503051
32,431.16,0.05,164,1425,110,0.25,172460,18207,0.550186586
33,394.1,0.05,136,1425,110,0.25,157640,15550,0.50157786
34,413.51,0.05,150,1425,110,0.25,165400,16898,0.527172248
35,440.55,0.05,172,1425,110,0.25,176220,18936,0.562312312
36,423.97,0.05,164,1182,110,0.25,169588,18207,0.557096757
37,387.88,0.05,136,1182,110,0.25,155148,15549,0.508805317
38,406.79,0.05,150,1182,110,0.25,162716,16898,0.53420425
39,433.11,0.05,172,1182,110,0.25,173244,18935,0.569118434
40,427.66,0.05,164,1303,110,0.25,171064,18207,0.553497067
41,391.04,0.05,136,1303,110,0.25,156412,15549,0.505180909
42,410.22,0.05,150,1303,110,0.25,164088,16899,0.530600733
43,436.91,0.05,172,1303,110,0.25,174760,18936,0.565650445
44,433.11,0.05,164,1495,110,0.25,173244,18208,0.548312835
45,395.79,0.05,136,1495,110,0.25,158316,15549,0.499596875
46,415.34,0.05,150,1495,110,0.25,166136,16899,0.525217714
47,442.56,0.05,172,1495,110,0.25,177024,18937,0.560503051
48,475.1,0.05,203,1495,110,0.25,190040,21649,0.601969825
49,483.32,0.05,203,1764,110,0.25,193328,21648,0.5956248
50,502.87,0.05,203,1425,130,0.25,201148,21529,0.566498119
51,512.75,0.05,203,1764,130,0.25,205100,21529,0.558481611
52,58.835,0.05,14,1425,9,0.25,23533.6,1892.3,0.355133699
53,40.026,0.05,14,122,9,0.25,16010.4,1918,0.568532758
54,56.867,0.05,14,1425,9,0.2,22746.4,1856.7,0.371824176
55,38.831,0.05,14,122,9,0.2,15532,1880.4,0.577802251
56,61.241,0.05,14,1425,9,0.3,24496,1947.1,0.340502329
57,41.436,0.05,14,122,9,0.3,16574,1972.7,0.560630578
