Case,Pmax(uN),hmax(nm),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,1228.1,100,164,1425,105,0.25,122810,29386,0.598585193
1,1129.8,100,136,1425,105,0.25,112980,25467.5,0.551434459
2,1181.4,100,150,1425,105,0.25,118140,27475.5,0.576338969
3,1252.9,100,172,1425,105,0.25,125290,30444.5,0.610287957
4,1212.7,100,164,1182,105,0.25,121270,29348,0.604303691
5,1115.2,100,136,1182,105,0.25,111520,25440,0.557563714
6,1166.3,100,150,1182,105,0.25,116630,27441,0.58224785
7,1237.4,100,172,1182,105,0.25,123740,30401.5,0.615892426
8,1220.4,100,164,1303,105,0.25,122040,29372.5,0.60140703
9,1122.5,100,136,1303,105,0.25,112250,25453.5,0.554454918
10,1173.8,100,150,1303,105,0.25,117380,27459.5,0.579252265
11,1245.1,100,172,1303,105,0.25,124510,30422,0.613041064
12,1232.6,100,164,1495,105,0.25,123260,29398.5,0.597018187
13,1133.9,100,136,1495,105,0.25,113390,25477.5,0.549768519
14,1185.7,100,150,1495,105,0.25,118570,27483.5,0.574711485
15,1257.4,100,172,1495,105,0.25,125740,30454.5,0.608739159
16,1146.4,100,164,1425,88,0.25,114640,29401.5,0.637298542
17,1061.1,100,136,1425,88,0.25,106110,25502.5,0.591583885
18,1106,100,150,1425,88,0.25,110600,27498,0.615802443
19,1168,100,172,1425,88,0.25,116800,30468.5,0.648485001
20,1129.9,100,164,1182,88,0.25,112990,29368.5,0.643034209
12,1045.5,100,136,1182,88,0.25,104550,25472.5,0.597823948
22,1089.9,100,150,1182,88,0.25,108990,27470,0.621788811
23,1151,100,172,1182,88,0.25,115100,30412.5,0.654139001
24,1137.8,100,164,1303,88,0.25,113780,29373,0.640156016
25,1053.3,100,136,1303,88,0.25,105330,25487,0.59463147
26,1098,100,150,1303,88,0.25,109800,27487.5,0.618738132
27,1159.5,100,172,1303,88,0.25,115950,30445.5,0.651274895
28,1253.8,100,164,1495,88,0.25,125380,29390.5,0.586555308
29,1151.6,100,136,1495,88,0.25,115160,25471.5,0.539000078
30,1205.2,100,150,1495,88,0.25,120520,27470.5,0.564091702
31,1279.6,100,172,1495,88,0.25,127960,30448.5,0.598375515
32,1249.4,100,164,1425,110,0.25,124940,29380,0.588134613
33,1147.6,100,136,1425,110,0.25,114760,25468,0.54063872
34,1200.9,100,150,1425,110,0.25,120090,27462,0.565697267
35,1152.2,100,172,1425,110,0.25,115220,27579.5,0.599905404
36,1234.3,100,164,1182,110,0.25,123430,29334.5,0.593807458
37,1133.2,100,136,1182,110,0.25,113320,25422,0.546745971
38,1186.1,100,150,1182,110,0.25,118610,27420,0.571577582
39,1259.9,100,172,1182,110,0.25,125990,30392.5,0.605498629
40,1241.7,100,164,1303,110,0.25,124170,29360,0.590910196
41,1140.4,100,136,1303,110,0.25,114040,25445.5,0.543654034
42,1193.5,100,150,1303,110,0.25,119350,27445,0.568606675
43,1267.4,100,172,1303,110,0.25,126740,30417.5,0.602661008
44,1253.8,100,164,1495,110,0.25,125380,29390.5,0.586555308
45,1151.6,100,136,1495,110,0.25,115160,25471.5,0.539000078
46,1205.2,100,150,1495,110,0.25,120520,27470.5,0.564091702
47,1279.6,100,172,1495,110,0.25,0.598375515,30448.5,0.709263248
48,1368,100,203,1495,110,0.25,136800,34299.5,0.638409835
49,1385.7,100,203,1764,110,0.25,138570,34331,0.633167359
50,1454.7,100,203,1425,130,0.25,145470,34263,0.602960253
51,1475.4,100,203,1764,130,0.25,147540,34310.5,0.596335253
52,169.99,100,14,1425,9,0.25,16999,3293,0.437020064
53,118.99,100,14,122,9,0.25,11899,3265.4,0.606485539
54,165.84,100,14,1425,9,0.2,16584,3273,0.45330386
55,116.26,100,14,122,9,0.2,11626,3240.55,0.616902372
56,175.04,100,14,1425,9,0.3,17504,3332.5,0.421363189
57,122.18,100,14,122,9,0.3,12218,3307.55,0.596622682
